"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 21.03 00:00,Änderungsrate (24 Std. bis 21.03 00:00),Coronavirus Fälle heute (verifiziert),CV-Fälle Tagespiegel Verifizierung,Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),"Coronavirus Fälle heute (verifiziert, blockiert) 23:25","Coronavirus Todesfälle heute (verifiziert, blockiert)",Todesfall Quelle,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Coburg,Kreisfreie Stadt,9463,6,100%,6,6,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,20/03/2020 14:46:00,6,,,,,,,,0,,,0,0,6,,,,,,,,,,,9,1
Coburg,Landkreis,9473,22,69%,22,16,https://www.landkreis-coburg.de/2506-0-Coronavirus-Aktueller-Stand-der-Corona-Virus-Infektionen-in-Stadt-und-Landkreis-Coburg.html,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,20/03/2020 18:26:00,22,,,,,,,,0,,,0,0,22,,,,,,,,,,,9,1
Dachau,Landkreis,9174,63,15%,63,,https://www.landratsamt-dachau.de/aktuelles/pressemitteilungen/aktuelle-lage-zum-coronavirus-im-landkreis-dachau-stand-16032020-1830-uhr/,https://www.landratsamt-dachau.de/gesundheit-veterinaerwesen-sicherheitsrecht/gesundheit/infektionsschutz-infektionskrankheiten-umweltmedizin/coronavirus/,20/03/2020 21:08:00,63,,,,,,,,0,,,0,0,63,,,,,,,,,,,9,1
Deggendorf,Landkreis,9271,35,30%,35,35,https://www.landkreis-deggendorf.de/aktuelles/aus-dem-landkreis/info-coronavirus/,https://www.landkreis-deggendorf.de/aktuelles/pressemitteilungen-zu-corona/,20/03/2020 14:51:00,35,,,,,,,,0,,,0,0,35,,,,,,,,,,,9,1
Dillingen a.d. Donau,Landkreis,9773,6,500%,6,6,https://alp.dillingen.de/aktuelles/beitrag/informationen-zum-corona-virus-covid-19/,https://www.landkreis-dillingen.de/erster-bestaetigter-covid-19-fall-im-landkreis-dillingen,20/03/2020 14:51:00,6,,36,,,,,,0,,,0,0,6,,,,,,,,,,,9,1
Dingolfing-Landau,Landkreis,9279,25,39%,25,22,https://www.landkreis-dingolfing-landau.de/buergerservice/coronavirus/,https://www.landkreis-dingolfing-landau.de/buergerservice/coronavirus/,20/03/2020 14:51:00,25,2,,,,,,,0,,,0,0,22,,,25,20/03/2020 22:20,https://www.landkreis-dingolfing-landau.de/buergerservice/veroeffentlichungen/pressemitteilungen/appell-des-landrates-pflegekraefte-dringend-gesucht/,@MKayCedar,,,,,9,1
Donau-Ries,Landkreis,9779,20,25%,20,20,https://www.donau-ries.de/Landratsamt/Buergerservice/Aufgabenbereiche/Gesundheitsamt-Humanmedizin.aspx,https://www.donau-ries.de/Landratsamt/Buergerservice/Aufgabenbereiche/Gesundheitsamt-Humanmedizin.aspx,20/03/2020 14:51:00,20,,,,,,,,0,,,0,0,20,,,16,19.03.2020 - 16:00,https://www.augsburger-allgemeine.de/donauwoerth/Corona-16-Infizierte-im-Landkreis-Donau-Ries-id57096441.html,,,,,,9,1
Ebersberg,Landkreis,9175,42,8%,42,42,https://lra-ebe.de/aktuelles/aktuelle-meldungen/corona-virus-aktuelle-informationen-14-maerz-2020/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 14:51:00,42,,141,,,,,,0,,,0,0,42,,,,,,,,,,,9,1
Eichstätt,Landkreis,9176,15,150%,15,13,https://www.landkreis-eichstaett.de/aktuelles/presseberichte/weiterer-bestaetigter-fall-von-covid-19-im-landkreis-eichstaett/,https://www.landkreis-eichstaett.de/aktuelles/presseberichte/weiterer-bestaetigter-fall-von-covid-19-im-landkreis-eichstaett/,20/03/2020 14:57:00,15,,,,,,,,0,,,0,0,13,,,15,20/03/2020 22:24,https://www.landkreis-eichstaett.de/aktuelles/presseberichte/zwei-weitere-bestaetigte-faelle-von-covid-19-im-landkreis-eichstaett/,@MKayCedar,,,,,9,1
Erding,Landkreis,9177,70,30%,70,53,https://www.lra-ebe.de/aktuelles/aktuelle-meldungen/corona-virus-aktuelle-informationen-stand-16-maerz-2020/,https://www.lra-ebe.de/aktuelles/aktuelle-meldungen/corona-virus-aktuelle-informationen-stand-16-maerz-2020/,20/03/2020 15:01:00,70,,,,,,,,0,,,0,0,70,,,,,,,,,,,9,1
Erlangen,Kreisfreie Stadt,9562,20,54%,20,15,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,20/03/2020 15:01:00,20,,,,,,,,0,,,0,0,20,,,,,,,,,,,9,1
Erlangen-Höchstadt,Landkreis,9572,21,50%,21,18,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,20/03/2020 15:01:00,21,,,,,,,,0,,,0,0,21,,,,,,,,,,,9,1
Forchheim,Landkreis,9474,18,29%,18,18,https://lra-fo.de/site/1_home/Pressemitteilungen.php,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 15:01:00,18,,,,,,,,0,,,0,0,18,,,,,,,,,,,9,1
Freising,Landkreis,9178,164,13%,164,164,https://www.kreis-freising.de/news-veranstaltungen/news/detail/news/detail/News/aktuelle-informationen-zum-neuartigen-coronavirus-covid-19.html?no_cache=1&cHash=ad817213a4637dc739f3ed46f92e26ac,https://www.kreis-freising.de/news-veranstaltungen/news/detail/news/detail/News/aktuelle-informationen-zum-neuartigen-coronavirus-covid-19.html?no_cache=1,20/03/2020 22:04:48,164,,,,2,,,,0,,,0,0,164,,,,,,,,,,,9,1
Freyung-Grafenau,Landkreis,9272,8,-43%,8,,https://www.freyung-grafenau.de/verwaltung-und-politik/pressemeldungen/details/news/weiterer-corona-fall-im-landkreis/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=22276fde70261e9d5af6f104f9dcf2b3,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 21:57:00,8,,,,,,,,0,,,0,0,8,,,,,,,,,,,9,1
Fürstenfeldbruck,Landkreis,9179,36,50%,36,36,https://www.lra-ffb.de/amt-service/veroeffentlichungen/pressemitteilungen/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 15:08:00,36,,,,,,,,0,,,0,0,36,,,,,,,,,,,9,1
Fürth,Kreisfreie Stadt,9563,16,33%,16,16,https://www.fuerth.de/Home/oeffentliches-leben-weiter-eingeschraenkt.aspx,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 15:08:00,16,,,,,,,,0,,,0,0,16,,,,,,,,,,,9,1
Fürth,Landkreis,9573,7,75%,7,7,https://www.landkreis-fuerth.de/corona.html,https://www.landkreis-fuerth.de/corona.html,20/03/2020 15:08:00,7,,,,,,,,0,,,0,0,7,,,,,,,,,,,9,1
Garmisch-Partenkirchen,Landkreis,9180,38,90%,38,38,https://www.lra-gap.de/de/,https://www.lra-gap.de/de/coronavirus.html,20/03/2020 15:08:00,38,,,,,,,,0,,,0,0,38,,,,,,,,,,,9,1
Günzburg,Landkreis,9774,11,0%,11,,https://landratsamt.landkreis-guenzburg.de/buergerservice/sicherheit-gesundheit-verbraucherschutz/gesundheit/covid-19,https://landratsamt.landkreis-guenzburg.de/buergerservice/sicherheit-gesundheit-verbraucherschutz/gesundheit/covid-19,20/03/2020 15:12:00,11,,,,,,,,0,,,0,0,11,,,,,,,,,,,9,1
Haßberge,Landkreis,9674,14,56%,14,14,https://www.hassberge.de/topmenu/startseite/news-ansicht.html?tx_news_pi1%5Bnews%5D=1646&cHash=5982f2a8fbd8823ef0de98fc8f1d2a37,https://www.hassberge.de/topmenu/startseite/news-ansicht.html?tx_news_pi1%5Bnews%5D=1646&cHash=5982f2a8fbd8823ef0de98fc8f1d2a37,20/03/2020 15:12:00,14,,,,,,,,0,,,0,0,14,,,,,,,,,,,9,1
Hof,Kreisfreie Stadt,9464,9,0%,9,,https://www.landkreis-hof.de/coronavirus-wir-informieren/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 22:04:48,9,,,,,,,,0,,,0,0,9,,,,,,,,,,,9,1
Hof,Landkreis,9475,17,31%,17,,https://www.landkreis-hof.de/coronavirus-wir-informieren/,https://www.landkreis-hof.de/coronavirus-wir-informieren/,20/03/2020 15:12:00,17,,,,,,,,0,,,0,0,17,,,,,,,,,,,9,1
Ingolstadt,Kreisfreie Stadt,9161,4,0%,4,4,"https://www.ingolstadt.de/Home/index.php?La=1&object=tx,3052.13907.1&kat=&kuo=2&sub=0&&NavID=2789.411.1","https://www.ingolstadt.de/Home/index.php?La=1&object=tx,3052.13907.1&kat=&kuo=2&sub=0&&NavID=2789.411.1",20/03/2020 15:12:00,4,1,,,,,,,0,,,0,0,4,,,4,21/03/2020 14:28:18,x,@MKayCedar,,,,,9,1
Kaufbeuren,Kreisfreie Stadt,9762,7,40%,7,5,https://www.landkreis-ostallgaeu.de/aktuelles.html,https://www.landkreis-ostallgaeu.de/aktuelles.html,20/03/2020 15:18:00,7,,,,,,,,0,,,0,0,7,,,,,,,,,,,9,1
Kelheim,Landkreis,9273,26,18%,36,,https://www.landkreis-kelheim.de/amt-service/coronavirus/,https://www.landkreis-kelheim.de/amt-service/coronavirus/,20/03/2020 15:18:00,36,,248,,,21/03/2020 13:07:42,https://www.landkreis-kelheim.de/amt-service/coronavirus/,@RR_ralfr,10,@Perix,@Stuqa,1,0,26,,,,,,,,,,,9,1.384615385
Kempten (Allgäu),Kreisfreie Stadt,9763,7,0%,7,,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,20/03/2020 22:04:48,7,,,,,,,,0,,,0,0,7,,,,,,,,,,,9,1
Kitzingen,Landkreis,9675,11,10%,11,,https://www.kitzingen.de/buergerservice/aktuelles/aktuelles-2020/corona/,https://www.kitzingen.de/buergerservice/aktuelles/aktuelles-2020/corona/,20/03/2020 15:22:00,11,,,,,,,,0,,,0,0,11,,,,,,,,,,,9,1
Kronach,Landkreis,9476,4,0%,4,,https://www.landkreis-kronach.de/aktuelles/meldungen/pressemitteilung-des-landkreises-kronach/,landkreis-kronach.de/aktuelles/coronavirus/,20/03/2020 15:22:00,4,,,,,,,,0,,,0,0,4,,,,,,,,,,,9,1
Kulmbach,Landkreis,9477,12,9%,12,,https://www.facebook.com/kulmbach.stadtportal,https://www.landkreis-kulmbach.de/fileadmin/user_upload/Home/Pressebereich/Pressemappen/Coronavirus/PM/PM_200317_Update_Coronavirus-F%C3%A4lle.pdf,20/03/2020 15:25:00,12,,,,,,,,0,,,0,0,12,,,,,,,,,,,9,1
Landsberg am Lech,Landkreis,9181,18,29%,18,,https://www.landkreis-landsberg.de/aktuelles/pressemitteilungen/corona-virus/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 15:25:00,18,,,,,,,,0,,,0,0,18,,,,,,,,,,,9,1
Landshut,Kreisfreie Stadt,9261,24,100%,24,,http://www.landshut.de/portal/startseite/pressedetails/article/8840/12332.html,http://www.landshut.de/portal/startseite/pressedetails/article/8840/12332.html,20/03/2020 15:25:00,24,,,,,,,,0,,,0,0,24,,,,,,,,,,,9,1
Landshut,Landkreis,9274,73,103%,73,,https://www.landkreis-landshut.de/Landratsamt/Aktuelles.aspx?rssid=f556fe1f-c62f-46a8-ab11-6eaa1479c00a,https://www.landkreis-landshut.de/Landratsamt/Aktuelles.aspx?rssid=f556fe1f-c62f-46a8-ab11-6eaa1479c00a,20/03/2020 15:25:00,73,,,,,,,,0,,,0,0,73,,,,,,,,,,,9,1
Lichtenfels,Landkreis,9478,7,40%,7,,https://www.lkr-lif.de/landratsamt/gesundheit-und-verbraucherschutz/gesundheitswesen/informationen-fuer-die-buerger/coronavirus/index.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 15:31:00,7,,,,,,,,0,,,0,0,7,,,,,,,,,,,9,1
Lindau (Bodensee),Landkreis,9776,35,52%,35,,"https://www.landkreis-lindau.de/B%C3%BCrgerservice-Online-Dienste/B%C3%BCrgerservice/Aktuell/index.php?La=1&object=tx,2846.1038.1&kat=&kuo=2&sub=0",https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 15:31:00,35,,,,,,,,0,,,0,0,35,,,,,,,,,,,9,1
Main-Spessart,Landkreis,9677,11,22%,11,,https://www.main-spessart.de/themen/gesundheit-soziales/gesundheitsregion-plus/3939.Coronavirus-SARS-CoV-2-COVID-19.html,https://www.main-spessart.de/themen/gesundheit-soziales/gesundheitsregion-plus/3939.Coronavirus-SARS-CoV-2-COVID-19.html,20/03/2020 15:31:00,11,,180,,,,,,0,,,0,0,11,,,,,,,,,,,9,1
Memmingen,Kreisfreie Stadt,9764,9,13%,9,,https://www.memmingen.de/aktuell/nachrichten-und-termine/aktuelle-nachrichten/singlenews-aktuelles/news/detail/News/erster-corona-fall-im-stadtgebiet.html,"https://www.merzig-wadern.de/Kurzmenü/Startseite/-Newsticker-zum-Coronavirus-.php?object=tx,2875.5&ModID=7&FID=2875.1724.1&NavID=1918.1",20/03/2020 15:31:00,9,,,,,,,,0,,,0,0,9,,,,,,,,,,,9,1
Miesbach,Landkreis,9182,58,2%,58,,https://www.landkreis-miesbach.de/B%C3%BCrgerservice/Aktuelles/Coronavirus,https://www.landkreis-miesbach.de/B%C3%BCrgerservice/Aktuelles/Coronavirus/index.php?object=tx%7c2823.1593.1&NavID=2823.148&La=1,20/03/2020 15:31:00,58,,,,,,,,0,,,0,0,58,,,57,3/19/2020 20:00,https://www.landkreis-miesbach.de/B%C3%BCrgerservice/Aktuelles/Coronavirus/index.php?object=tx%7c2716.864.1&NavID=2823.148&La=1,,,,,,9,1
Miltenberg,Landkreis,9676,25,0%,25,,"https://www.miltenberg.de/#/de/stadt-miltenberg/default/search/Event/city%3A%22Miltenberg%22/view:list/sort:chronological/mode:next_days,3/calView:month",https://www.landkreis-miltenberg.de/Landkreis/Aktuell/Pressearchiv.aspx?orgid={3174651E-8A75-4EDC-8D54-74BBBE9CF8F0},20/03/2020 15:36:00,25,,,,,,,,0,,,0,0,25,,,25,3/19/2020 21:00,https://www.landkreis-miltenberg.de/Landkreis/Aktuell/Pressearchiv.aspx?orgid={B9244F2B-A8F3-420A-8B45-D85D38F42AA7},,,,,,9,1
Mühldorf a. Inn,Landkreis,9183,16,60%,16,16,https://www.lra-mue.de/buergerservice.html,https://www.lra-mue.de/asset/8A356222-9216-4C8B-94F108B4696ACA9C/,20/03/2020 22:04:48,16,,,,,,,,0,,,0,0,16,,,16,21/03/2020 14:28:18,https://www.lra-mue.de/buergerservice/fachbereiche/gesundheitsamt/aktuelle-gesundheitsinfos.html,@MKayCedar,,,,,9,1
München,Kreisfreie Stadt,9162,878,30%,878,,https://www.muenchen.de/aktuell/2020-03/coronavirus-muenchen-infektion-aktueller-stand.html,https://www.muenchen.de/aktuell/2020-03/coronavirus-muenchen-infektion-aktueller-stand.html,20/03/2020 17:35:00,878,,,,,,,,0,,,0,0,878,,,,,,,,,,,9,1
München,Landkreis,9184,200,49%,200,,https://www.landkreis-muenchen.de/themen/verbraucherschutz-gesundheit/gesundheit/coronavirus/,https://www.landkreis-muenchen.de/themen/verbraucherschutz-gesundheit/gesundheit/coronavirus/,20/03/2020 17:35:00,200,,,,,,,,0,,,0,0,200,,,,,,,,,,,9,1
Neu-Ulm,Landkreis,9775,34,79%,34,,https://landkreis.neu-ulm.de/de/aktuelles-detail/coronavirus-ein-neuer-fall-im-landkreis-neu-ulm-gemeldet.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 17:35:00,34,,,,,,,,0,,,0,0,34,,,21,3/19/2020,https://landkreis.neu-ulm.de/de/aktuelles-detail/insgesamt-18-faelle-fuer-eine-coronavirus-erkrankung-im-landkreis-neu-ulm-gemeldet.html,,,,,,9,1
Neuburg-Schrobenhausen,Landkreis,9185,22,144%,22,,https://neuburg-schrobenhausen.de/informationen-zum-coronavirus?suche=,https://neuburg-schrobenhausen.de/informationen-zum-coronavirus?suche=,20/03/2020 17:35:00,22,,,,,,,,0,,,0,0,22,,,,,,,,,,,9,1
Neumarkt i.d. OPf.,Landkreis,9373,18,0%,18,,https://www.landkreis-neumarkt.de/hp794/Aktuelles.htm,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 17:35:00,18,,,,,,,,0,,,0,0,18,,,,,,,,,,,9,1
Neustadt a.d. Aisch-Bad Windsheim,Landkreis,9575,7,75%,7,,https://www.kreis-nea.de/amt-verwaltung/veroeffentlichungen/aktuelles.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 17:35:00,7,,,,,,,,0,,,0,0,7,,,,,,,,,,,9,1
Neustadt a.d. Waldnaab,Landkreis,9374,3,50%,3,,https://www.facebook.com/Landratsamt.Neustadt.WN,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 17:35:00,3,,,,,,,,0,,,0,0,3,,,,,,,,,,,9,1
Nürnberg,Kreisfreie Stadt,9564,74,21%,74,,https://www.nuernberg.de/internet/stadtportal/coronavirus.html,https://www.nuernberg.de/internet/stadtportal/coronavirus.html,20/03/2020 22:04:48,74,,,,,,,,0,,,0,0,74,,,,,,,,,,,9,1
Nürnberger Land,Landkreis,9574,40,11%,40,,https://www.nuernberg.de/internet/stadtportal/coronavirus.html,https://landkreis.nuernberger-land.de/index.php?id=6079,20/03/2020 22:04:48,40,,,,,,,,0,,,0,0,40,,,,,,,,,,,9,1
Oberallgäu,Landkreis,9780,42,0%,42,47,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 17:41:00,42,,,,2,,,,0,,,0,0,42,,,,,,,,,,,9,1
Ostallgäu,Landkreis,9777,24,50%,24,,https://www.landkreis-ostallgaeu.de/aktuelles.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 17:41:00,24,,,,,,,,0,,,0,0,24,,,,,,,,,,,9,1
Passau,Kreisfreie Stadt,9262,6,20%,6,,http://www.passau.de/default.aspx?ID=e553c8db-27d4-46fa-8c54-f0cace69cfe9,http://www.passau.de/default.aspx?ID=e553c8db-27d4-46fa-8c54-f0cace69cfe9,20/03/2020 17:41:00,6,,,,,,,,0,,,0,0,6,,,,,,,,,,,9,1
Passau,Landkreis,9275,23,5%,23,,https://www.landkreis-passau.de/landkreis-verwaltung-politik/aktuelles/aktuelle-meldungen/,https://www.landkreis-passau.de/landkreis-verwaltung-politik/aktuelles/aktuelle-meldungen/,20/03/2020 17:41:00,23,,,,,,,,0,,,0,0,23,,,,,,,,,,,9,1
Pfaffenhofen a.d. Ilm,Landkreis,9186,24,26%,24,,https://www.landkreis-pfaffenhofen.de/LANDRATSAMT/Geschaeftsverteilung/Geschaeftsverteilungsplan.aspx?view=~/kxp/orgdata/default&orgid=85ae92ca-8b38-4d78-90ab-dfc06520a763,https://www.landkreis-pfaffenhofen.de/LANDRATSAMT/Geschaeftsverteilung/Geschaeftsverteilungsplan.aspx?view=~/kxp/orgdata/default&orgid=85ae92ca-8b38-4d78-90ab-dfc06520a763,20/03/2020 10:30:00,24,,,0,,,,,0,,,0,0,22,,,22,21/03/2020 14:28:18,https://www.landkreis-pfaffenhofen.de/HOME/Aktuelles/AlleMeldungen.aspx?rssid=0cc4a06e-43b3-482f-89f6-6c046c29fc8f,@MKayCedar,,,,,9,1
Regen,Landkreis,9276,23,15%,23,23,https://www.landkreis-regen.de/informationen-zum-thema-coronavirus/,https://www.landkreis-regen.de/informationen-zum-thema-coronavirus/,20/03/2020 10:30:00,23,,,,,,,,0,,,0,0,23,,,23,21/03/2020 14:28:18,https://www.landkreis-regen.de/zahl-der-infizierten-erneut-gestiegen/,@MKayCedar,,,,,9,1
Regensburg,Kreisfreie Stadt,9362,74,19%,74,74,https://www.regensburg.de/aktuelles/coronavirus/bestaetigte-covid-19-faelle,https://www.regensburg.de/aktuelles/coronavirus,20/03/2020 17:41:00,74,,,,,,,,0,,,0,0,74,,,,,,,,,,,9,1
Regensburg,Landkreis,9375,67,20%,67,65,https://www.landkreis-regensburg.de/unser-landkreis/aktuelles/coronavirus/,https://www.landkreis-regensburg.de/unser-landkreis/aktuelles/coronavirus/,20/03/2020 17:41:00,67,,,,,,,,0,,,0,0,67,,,,,,,,,,,9,1
Rhön-Grabfeld,Landkreis,9673,11,-21%,11,11,https://www.rhoen-grabfeld.de/internet/index.php?page=15492&,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 17:41:00,11,,104,1,,,,,0,,,0,0,11,,,,,,,,,,,9,1
Rosenheim,Kreisfreie Stadt,9163,1,0%,1,,https://rosenheim.de/aktuell-rathaus/stadt-und-landkreis-rosenheim-aktuelle-informationen-zum-corona-virus.html,https://rosenheim.de/aktuell-rathaus/stadt-und-landkreis-rosenheim-aktuelle-informationen-zum-corona-virus.html,20/03/2020 17:48:00,1,,,,,,,,0,,,0,0,1,,,,,,,,,,,9,1
Rosenheim,Landkreis,9187,100,11%,100,,https://www.landkreis-rosenheim.de/#{2},https://www.landkreis-rosenheim.de/Default.asp?rq_AppGuid=D53E3617FFC7C16729E9ABD3CE049BFAE5B2C888&rq_TargetPageGuid=868C21C44B5C21E6A7E5D94015AA8043B75FFA61&rq_RecId=33363736&rq_MenuGuid=81E6AF0753F9AC2FE91C86253937F9D94C472C26&rq_TemplateKey=73746167655F6170706D61696E&rq_Lang=de,20/03/2020 22:04:48,100,,,,,,,,0,,,0,0,100,,,100,3/19/2020,https://www.landkreis-rosenheim.de/#{2},,,,,,9,1
Roth,Landkreis,9576,12,50%,12,12,https://www.landratsamt-roth.de/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 17:50:00,12,,,,,,,,0,,,0,0,12,,,,,,,,,,,9,1
Rottal-Inn,Landkreis,9277,55,20%,55,55,https://www.rottal-inn.de/buergerservice-formulare/gesundheitsamt/coronavirus-aktuelle-informationen/,https://www.rottal-inn.de/buergerservice-formulare/gesundheitsamt/coronavirus-aktuelle-informationen/,20/03/2020 07:30:00,55,,400,6/1,,,,,0,,,0,0,55,,,,,,,,,,,9,1
Schwabach,Kreisfreie Stadt,9565,8,33%,8,,https://www.schwabach.de/de/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 17:50:00,8,,,,,,,,0,,,0,0,8,,,,,,,,,,,9,1
Schwandorf,Landkreis,9376,24,4%,24,,https://www.landkreis-schwandorf.de/index.php?object=tx%7C1901.64&ModID=255&FID=1901.15309.1&&mNavID=1.100&La=1,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 16:30:00,24,,,,,,,,0,,,0,0,24,,,,,,,,,,,9,1
Schweinfurt,Kreisfreie Stadt,9662,12,33%,12,,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,20/03/2020 22:04:48,12,,162,,,,,,0,,,0,0,12,,,,,,,,,,,9,1
Schweinfurt,Landkreis,9678,27,50%,27,,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,20/03/2020 19:42:00,27,,250,,,,,,0,,,0,0,27,,,,,,,,,,,9,1
Starnberg,Landkreis,9188,69,11%,69,,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 19:42:00,69,,,,,,,,0,,,0,0,69,,,,,,,,,,,9,1
Straubing,Kreisfreie Stadt,9263,29,107%,29,,http://www.straubing.de/de/buerger-und-soziales/aktuelles/2020/info_corona_virus.php,http://www.straubing.de/de/buerger-und-soziales/aktuelles/2020/info_corona_virus.php,20/03/2020 19:42:00,29,,12,2,,,,,0,,,0,0,29,,,,,,,,,,,9,1
