"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 20.03 00:00,Änderungsrate (24 Std.),Coronavirus Fälle heute (verifiziert),Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Kitzingen,Landkreis,9675,10,11%,10,https://www.kitzingen.de/buergerservice/aktuelles/aktuelles-2020/corona/,https://www.kitzingen.de/buergerservice/aktuelles/aktuelles-2020/corona/,19/03/2020 14:14:00,10,,,,,,,,0,,,0,0,,,,,,,,,9,1
Kronach,Landkreis,9476,4,0%,4,https://www.landkreis-kronach.de/aktuelles/meldungen/pressemitteilung-des-landkreises-kronach/,landkreis-kronach.de/aktuelles/coronavirus/,19/03/2020 14:14:00,4,,,,,,,,0,,,0,0,,,,,,,,,9,1
Kulmbach,Landkreis,9477,11,-8%,11,https://www.facebook.com/kulmbach.stadtportal,https://www.landkreis-kulmbach.de/fileadmin/user_upload/Home/Pressebereich/Pressemappen/Coronavirus/PM/PM_200317_Update_Coronavirus-F%C3%A4lle.pdf,19/03/2020 14:18:00,11,,,,,,,,0,,,0,0,,,,,,,,,9,1
Landsberg am Lech,Landkreis,9181,14,0%,14,https://www.landkreis-landsberg.de/aktuelles/pressemitteilungen/corona-virus/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 14:18:00,14,,,,,,,,0,,,0,0,,,,,,,,,9,1
Landshut,Kreisfreie Stadt,9261,12,200%,12,http://www.landshut.de/portal/startseite/pressedetails/article/8840/12332.html,http://www.landshut.de/portal/startseite/pressedetails/article/8840/12332.html,19/03/2020 14:18:00,12,,,,,,,,0,,,0,0,,,,,,,,,9,1
Landshut,Landkreis,9274,36,44%,36,https://www.landkreis-landshut.de/Landratsamt/Aktuelles.aspx?rssid=f556fe1f-c62f-46a8-ab11-6eaa1479c00a,https://www.landkreis-landshut.de/Landratsamt/Aktuelles.aspx?rssid=f556fe1f-c62f-46a8-ab11-6eaa1479c00a,19/03/2020 14:18:00,36,,,,,,,,0,,,0,0,,,,,,,,,9,1
Lichtenfels,Landkreis,9478,5,0%,5,https://www.lkr-lif.de/landratsamt/gesundheit-und-verbraucherschutz/gesundheitswesen/informationen-fuer-die-buerger/coronavirus/index.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 15:06:00,5,,,,,,,,0,,,0,0,,,,,,,,,9,1
Lindau (Bodensee),Landkreis,9776,23,10%,23,"https://www.landkreis-lindau.de/B%C3%BCrgerservice-Online-Dienste/B%C3%BCrgerservice/Aktuell/index.php?La=1&object=tx,2846.1038.1&kat=&kuo=2&sub=0",https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 15:06:00,23,,,,,,,,0,,,0,0,,,,,,,,,9,1
Main-Spessart,Landkreis,9677,9,13%,9,https://www.main-spessart.de/themen/gesundheit-soziales/gesundheitsregion-plus/3939.Coronavirus-SARS-CoV-2-COVID-19.html,https://www.main-spessart.de/themen/gesundheit-soziales/gesundheitsregion-plus/3939.Coronavirus-SARS-CoV-2-COVID-19.html,19/03/2020 15:08:00,9,,,,,,,,0,,,0,0,,,,,,,,,9,1
Memmingen,Kreisfreie Stadt,9764,8,60%,8,https://www.memmingen.de/aktuell/nachrichten-und-termine/aktuelle-nachrichten/singlenews-aktuelles/news/detail/News/erster-corona-fall-im-stadtgebiet.html,"https://www.merzig-wadern.de/Kurzmenü/Startseite/-Newsticker-zum-Coronavirus-.php?object=tx,2875.5&ModID=7&FID=2875.1724.1&NavID=1918.1",19/03/2020 15:13:00,8,,,,,,,,0,,,0,0,,,,,,,,,9,1
Miesbach,Landkreis,9182,57,30%,57,https://www.landkreis-miesbach.de/B%C3%BCrgerservice/Aktuelles/Coronavirus,https://www.landkreis-miesbach.de/B%C3%BCrgerservice/Aktuelles/Coronavirus/index.php?object=tx%7c2823.1593.1&NavID=2823.148&La=1,19/03/2020 15:13:00,57,,,,,,,,0,,,0,0,57,3/19/2020 20:00,https://www.landkreis-miesbach.de/B%C3%BCrgerservice/Aktuelles/Coronavirus/index.php?object=tx%7c2716.864.1&NavID=2823.148&La=1,,,,,,9,1
Miltenberg,Landkreis,9676,25,67%,25,"https://www.miltenberg.de/#/de/stadt-miltenberg/default/search/Event/city%3A%22Miltenberg%22/view:list/sort:chronological/mode:next_days,3/calView:month",https://www.landkreis-miltenberg.de/Landkreis/Aktuell/Pressearchiv.aspx?orgid={3174651E-8A75-4EDC-8D54-74BBBE9CF8F0},19/03/2020 15:13:00,25,,,,,,,,0,,,0,0,25,3/19/2020 21:00,https://www.landkreis-miltenberg.de/Landkreis/Aktuell/Pressearchiv.aspx?orgid={B9244F2B-A8F3-420A-8B45-D85D38F42AA7},,,,,,9,1
Mühldorf a. Inn,Landkreis,9183,10,0%,10,https://www.lra-mue.de/buergerservice.html,https://www.lra-mue.de/asset/8A356222-9216-4C8B-94F108B4696ACA9C/,19/03/2020 15:17:00,16,,,,,19.03.2020 16:00:00,https://www.lra-mue.de/buergerservice/fachbereiche/gesundheitsamt/aktuelle-gesundheitsinfos.html,@SeitlDaniel,6,,,0,0,16,20/03/2020 11:53:08,https://www.lra-mue.de/buergerservice/fachbereiche/gesundheitsamt/aktuelle-gesundheitsinfos.html,@MKayCedar,,,,,9,1.6
München,Kreisfreie Stadt,9162,676,33%,676,https://www.muenchen.de/aktuell/2020-03/coronavirus-muenchen-infektion-aktueller-stand.html,https://www.muenchen.de/aktuell/2020-03/coronavirus-muenchen-infektion-aktueller-stand.html,19/03/2020 15:17:00,676,,,,,,,,0,,,0,0,,,,,,,,,9,1
München,Landkreis,9184,134,30%,134,https://www.landkreis-muenchen.de/themen/verbraucherschutz-gesundheit/gesundheit/coronavirus/,https://www.landkreis-muenchen.de/themen/verbraucherschutz-gesundheit/gesundheit/coronavirus/,19/03/2020 15:17:00,134,,,,,,,,0,,,0,0,,,,,,,,,9,1
Neu-Ulm,Landkreis,9775,19,12%,19,https://landkreis.neu-ulm.de/de/aktuelles-detail/coronavirus-ein-neuer-fall-im-landkreis-neu-ulm-gemeldet.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 15:20:00,19,,,,,,,,0,,,0,0,21,3/19/2020,https://landkreis.neu-ulm.de/de/aktuelles-detail/insgesamt-18-faelle-fuer-eine-coronavirus-erkrankung-im-landkreis-neu-ulm-gemeldet.html,,,,,,9,1
Neuburg-Schrobenhausen,Landkreis,9185,9,0%,9,https://neuburg-schrobenhausen.de/informationen-zum-coronavirus?suche=,https://neuburg-schrobenhausen.de/informationen-zum-coronavirus?suche=,19/03/2020 23:59:00,9,,,,,,,,0,,,0,0,,,,,,,,,9,1
Neumarkt i.d. OPf.,Landkreis,9373,18,6%,18,https://www.landkreis-neumarkt.de/hp794/Aktuelles.htm,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 15:20:00,18,,,,,,,,0,,,0,0,,,,,,,,,9,1
Neustadt a.d. Aisch-Bad Windsheim,Landkreis,9575,4,-33%,4,https://www.kreis-nea.de/amt-verwaltung/veroeffentlichungen/aktuelles.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 15:20:00,4,,,,,,,,0,,,0,0,,,,,,,,,9,1
Neustadt a.d. Waldnaab,Landkreis,9374,2,0%,2,https://www.facebook.com/Landratsamt.Neustadt.WN,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 15:20:00,2,,,,,,,,0,,,0,0,,,,,,,,,9,1
Nürnberg,Kreisfreie Stadt,9564,61,15%,61,https://www.nuernberg.de/internet/stadtportal/coronavirus.html,https://www.nuernberg.de/internet/stadtportal/coronavirus.html,19/03/2020 15:24:00,61,,,,,,,,0,,,0,0,,,,,,,,,9,1
Nürnberger Land,Landkreis,9574,36,57%,36,https://www.nuernberg.de/internet/stadtportal/coronavirus.html,https://landkreis.nuernberger-land.de/index.php?id=6079,19/03/2020 15:24:00,36,,,,,,,,0,,,0,0,,,,,,,,,9,1
Oberallgäu,Landkreis,9780,42,20%,42,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 15:24:00,42,,,,2,,,,0,,,0,0,,,,,,,,,9,1
Ostallgäu,Landkreis,9777,16,0%,16,https://www.landkreis-ostallgaeu.de/aktuelles.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 15:24:00,16,,,,,,,,0,,,0,0,,,,,,,,,9,1
Passau,Kreisfreie Stadt,9262,5,25%,5,http://www.passau.de/default.aspx?ID=e553c8db-27d4-46fa-8c54-f0cace69cfe9,http://www.passau.de/default.aspx?ID=e553c8db-27d4-46fa-8c54-f0cace69cfe9,19/03/2020 15:24:00,5,,,,,,,,0,,,0,0,,,,,,,,,9,1
Passau,Landkreis,9275,22,16%,22,https://www.landkreis-passau.de/landkreis-verwaltung-politik/aktuelles/aktuelle-meldungen/,https://www.landkreis-passau.de/landkreis-verwaltung-politik/aktuelles/aktuelle-meldungen/,19/03/2020 15:24:00,22,,,,,,,,0,,,0,0,,,,,,,,,9,1
Pfaffenhofen a.d. Ilm,Landkreis,9186,19,19%,19,https://www.landkreis-pfaffenhofen.de/LANDRATSAMT/Geschaeftsverteilung/Geschaeftsverteilungsplan.aspx?view=~/kxp/orgdata/default&orgid=85ae92ca-8b38-4d78-90ab-dfc06520a763,https://www.landkreis-pfaffenhofen.de/LANDRATSAMT/Geschaeftsverteilung/Geschaeftsverteilungsplan.aspx?view=~/kxp/orgdata/default&orgid=85ae92ca-8b38-4d78-90ab-dfc06520a763,19/03/2020 15:29:00,22,,,0,,20/03/2020 10:30:00,https://www.landkreis-pfaffenhofen.de/HOME/Aktuelles/AlleMeldungen.aspx?rssid=0cc4a06e-43b3-482f-89f6-6c046c29fc8f,@MKayCedar,3,,@JamesEDaniell,0,0,22,20/03/2020 11:53:08,https://www.landkreis-pfaffenhofen.de/HOME/Aktuelles/AlleMeldungen.aspx?rssid=0cc4a06e-43b3-482f-89f6-6c046c29fc8f,@MKayCedar,,,,,9,1.157894737
Regen,Landkreis,9276,20,0%,20,https://www.landkreis-regen.de/informationen-zum-thema-coronavirus/,https://www.landkreis-regen.de/informationen-zum-thema-coronavirus/,19/03/2020 15:36:00,23,,,,,20/03/2020 10:30:00,https://www.landkreis-regen.de/zahl-der-infizierten-erneut-gestiegen/,@MKayCedar,3,@JamesEDaniell,,0,0,23,20/03/2020 11:53:08,https://www.landkreis-regen.de/zahl-der-infizierten-erneut-gestiegen/,@MKayCedar,,,,,9,1.15
Regensburg,Kreisfreie Stadt,9362,62,63%,62,https://www.regensburg.de/aktuelles/coronavirus/bestaetigte-covid-19-faelle,https://www.regensburg.de/aktuelles/coronavirus,19/03/2020 15:36:00,62,,,,,,,,0,,,0,0,,,,,,,,,9,1
Regensburg,Landkreis,9375,56,107%,56,https://www.landkreis-regensburg.de/unser-landkreis/aktuelles/coronavirus/,https://www.landkreis-regensburg.de/unser-landkreis/aktuelles/coronavirus/,19/03/2020 15:36:00,56,,,,,,,,0,,,0,0,,,,,,,,,9,1
Rhön-Grabfeld,Landkreis,9673,14,367%,14,https://www.rhoen-grabfeld.de/internet/index.php?page=15492&,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 15:39:00,14,,7,1,,,,,0,,,0,0,,,,,,,,,9,1
Rosenheim,Kreisfreie Stadt,9163,1,0%,1,https://rosenheim.de/aktuell-rathaus/stadt-und-landkreis-rosenheim-aktuelle-informationen-zum-corona-virus.html,https://rosenheim.de/aktuell-rathaus/stadt-und-landkreis-rosenheim-aktuelle-informationen-zum-corona-virus.html,19/03/2020 15:39:00,1,,,,,,,,0,,,0,0,,,,,,,,,9,1
Rosenheim,Landkreis,9187,90,18%,90,https://www.landkreis-rosenheim.de/#{2},https://www.landkreis-rosenheim.de/Default.asp?rq_AppGuid=D53E3617FFC7C16729E9ABD3CE049BFAE5B2C888&rq_TargetPageGuid=868C21C44B5C21E6A7E5D94015AA8043B75FFA61&rq_RecId=33363736&rq_MenuGuid=81E6AF0753F9AC2FE91C86253937F9D94C472C26&rq_TemplateKey=73746167655F6170706D61696E&rq_Lang=de,19/03/2020 15:39:00,100,,,,,,https://www.landkreis-rosenheim.de/#{2},X,10,,@JamesEDaniell,0,0,100,3/19/2020,https://www.landkreis-rosenheim.de/#{2},,,,,,9,1.111111111
Roth,Landkreis,9576,8,14%,8,https://www.landratsamt-roth.de/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 15:43:00,8,,,,,,,,0,,,0,0,,,,,,,,,9,1
Rottal-Inn,Landkreis,9277,46,28%,46,https://www.rottal-inn.de/buergerservice-formulare/gesundheitsamt/coronavirus-aktuelle-informationen/,https://www.rottal-inn.de/buergerservice-formulare/gesundheitsamt/coronavirus-aktuelle-informationen/,19/03/2020 16:40:00,55,,400,6/1,,20/03/2020 07:30:00,https://www.pnp.de/nachrichten/politik/Soeder-droht-mit-Ausgangssperre-Zahl-der-Infizierten-steigt-weiter-3640619.html,@SeitlDaniel,9,,,0,0,,,,,,,,,9,1.195652174
Schwabach,Kreisfreie Stadt,9565,6,0%,6,https://www.schwabach.de/de/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 15:47:00,6,,,,,,,,0,,,0,0,,,,,,,,,9,1
Schwandorf,Landkreis,9376,23,35%,23,https://www.landkreis-schwandorf.de/index.php?object=tx%7C1901.64&ModID=255&FID=1901.15309.1&&mNavID=1.100&La=1,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 19:55:00,23,,,,,,,,0,,,0,0,,,,,,,,,9,1
Schweinfurt,Kreisfreie Stadt,9662,9,0%,9,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,19/03/2020 23:59:00,12,,,,,,,,3,,,0,0,,,,,,,,,9,1.333333333
Schweinfurt,Landkreis,9678,18,0%,18,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,19/03/2020 15:47:00,18,,,,,,,,0,,,0,0,,,,,,,,,9,1
Starnberg,Landkreis,9188,62,24%,62,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 16:01:00,62,,,,,,,,0,,,0,0,,,,,,,,,9,1
Straubing,Kreisfreie Stadt,9263,14,0%,14,http://www.straubing.de/de/buerger-und-soziales/aktuelles/2020/info_corona_virus.php,http://www.straubing.de/de/buerger-und-soziales/aktuelles/2020/info_corona_virus.php,19/03/2020 16:01:00,14,,12,2,,,,,0,,,0,0,,,,,,,,,9,1
Straubing-Bogen,Landkreis,9278,14,8%,14,https://www.landkreis-straubing-bogen.de/buergerservice/aktuelles-pressemitteilungen/corona/,https://www.landkreis-straubing-bogen.de/buergerservice/aktuelles-pressemitteilungen/corona/,19/03/2020 16:01:00,14,,,,,,,,0,,,0,0,,,,,,,,,9,1
Tirschenreuth,Landkreis,9377,47,0%,47,https://www.kreis-tir.de/buergerservice/aktuelles/news/news/detail/News/20-weitere-faelle-im-landkreis-tirschenreuth-3-weitere-praxen-betroffen-eingeschraenkter-dienstbetri/,https://www.kreis-tir.de/buergerservice/aktuelles/news/news/detail/News/ausgangssperre-fuer-die-stadt-mitteteich-47-bestaetigte-faelle-im-landkreis-davon-25-in-der-stadt-mit/,19/03/2020 16:05:00,62,,,,,19.03.2020 15:00,https://www.kreis-tir.de/buergerservice/aktuelles/news/news/detail/News/62-bestaetigte-faelle-im-landkreis-schwerpunkt-weiter-in-der-stadt-mitterteich/,,15,,@JamesEDaniell,0,0,,,,,,,,,9,1.319148936
Traunstein,Landkreis,9189,20,5%,20,https://www.traunstein.com/aktuelles/meldungen/aktuelle-informationen-zum-corona-virus-im-lk-ts-drei-neue-bestaetigte-faelle,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 16:10:00,20,,,,1,,,,0,,,0,0,,,,,,,,,9,1
Unterallgäu,Landkreis,9778,19,0%,19,https://www.landratsamt-unterallgaeu.de/aktuelles/pressemitteilungen.html,https://www.landratsamt-unterallgaeu.de/aktuelles/pressemitteilungen/pressemitteilung-detail-ansicht/news/detail/news/corona:-so-schuetzen-sie-sich-und-ihre-mitmenschen.html,19/03/2020 16:10:00,19,,,,,,,,0,,,0,0,31,19.03.2020 - 16:50,https://www.augsburger-allgemeine.de/mindelheim/Corona-Update-31-bestaetigte-Faelle-im-Unterallgaeu-id57078311.html,,,,,,9,1
Weiden i.d. OPf.,Kreisfreie Stadt,9363,7,0%,7,https://www.weiden.de/stadt/willkommen/aktuelles/zwei-weitere-coronafaelle-in-weiden,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 16:37:00,7,,,,,,,,0,,,0,0,,,,,,,,,9,1
Weilheim-Schongau,Landkreis,9190,44,63%,44,https://www.weilheim-schongau.de/aktuelles/aktuelle-meldungen/pressemitteilung-54-2020-vom-16032020/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 16:37:00,44,,41,3,1,,,,0,,,0,0,,,,,,,,,9,1
Weißenburg-Gunzenhausen,Landkreis,9577,7,40%,7,https://www.landkreis-wug.de/presseliveticker-corona/,https://www.landkreis-wug.de/newsticker-corona/,19/03/2020 16:40:00,7,,,,,,,,0,,,0,0,,,,,,,,,9,1
Wunsiedel i. Fichtelgebirge,Landkreis,9479,16,0%,16,https://www.landkreis-wunsiedel.de/buergerservice/news/2020/wichtige-informationen-zum-coronavirus-sars-cov-2,https://www.landkreis-wunsiedel.de/buergerservice/news/2020/wichtige-informationen-zum-coronavirus-sars-cov-2,19/03/2020 16:40:00,16,,,,2,,,,0,,,0,0,,,,,,,,,9,1
Würzburg,Kreisfreie Stadt,9663,42,2%,42,https://www.wuerzburg.de/themen/gesundheit-soziales/coronavirus/index.html,https://www.wuerzburg.de/themen/gesundheit-soziales/coronavirus/index.html,19/03/2020 11:00:00,42,,205,,5,,,,0,,,0,0,,,,,,,,,9,1
Würzburg,Landkreis,9679,70,17%,70,"https://www.landkreis-wuerzburg.de/Auf-einen-Klick/Aktuelles/Coronavirus/Sieben-neue-Corona-F%C3%A4lle-in-Stadt-und-Landkreis-W%C3%BCrzburg-Landrat-sagt-Wahlstudio-im-Landratsamt-ab.php?object=tx,2680.5&ModID=7&FID=2680.21372.1&NavID=2680.396&La=1","https://www.landkreis-wuerzburg.de/Auf-einen-Klick/Aktuelles/Coronavirus/Sieben-neue-Corona-F%C3%A4lle-in-Stadt-und-Landkreis-W%C3%BCrzburg-Landrat-sagt-Wahlstudio-im-Landratsamt-ab.php?object=tx,2680.5&ModID=7&FID=2680.21372.1&NavID=2680.396&La=1",19/03/2020 11:00:00,70,,400,,,,,,0,,,0,0,,,,,,,,,9,1
Merzig-Wadern,Landkreis,10042,14,27%,14,"https://www.merzig-wadern.de/Kurzmen%C3%BC/Startseite/-Newsticker-zum-Coronavirus-.php?object=tx,2875.5&ModID=7&FID=2875.1724.1&NavID=1918.1",https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Neue%20bestätigte%20Coronafälle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%20(18.%20März)/,19/03/2020 16:40:00,14,,,,,,,,0,,,0,0,,,,,,,,,10,1
Neunkirchen,Landkreis,10043,26,18%,26,https://www.neunkirchen.de/index.php?id=corona,https://www.saarland.de/SID-9933E942-F677190A/59841_254585.htm,19/03/2020 15:00:00,26,,,,,,,,0,,,0,0,,,,,,,,,10,1
Regionalverband Saarbrücken,Landkreis,10041,86,37%,86,https://www.regionalverband-saarbruecken.de/presse/nachricht-startseite/news/aktuell-27-bestaetigte-coronavirus-erkrankte-im-regionalverband/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=dbd9b39722210833eabe8e14303aafd1,https://www.saarland.de/SID-9933E942-F677190A/59841_254585.htm,19/03/2020 15:00:00,86,,,,,,,,0,,,0,0,,,,,,,,,10,1
Saarlouis,Landkreis,10044,37,42%,37,https://www.kreis-saarlouis.de/Aktuelles/Corona-Ticker-Aktuelle-Lage.html?,https://www.saarland.de/SID-9933E942-F677190A/59841_254585.htm,19/03/2020 16:40:00,37,,,,,,,,0,,,0,0,,,,,,,,,10,1
Saarpfalz-Kreis,Landkreis,10045,35,25%,35,https://www.saarpfalz-kreis.de/images/Gesundheitsamt/2020/Medieninfo_MfSGFF_163_Saarlndisches_Gesundheitsministerium_besttigt_weitere_elf_Erkrankungen_am_Coronavirus.pdf,https://www.saarland.de/SID-9933E942-F677190A/59841_254585.htm,19/03/2020 16:40:00,35,,,,,,,,0,,,0,0,,,,,,,,,10,1
St. Wendel,Landkreis,10046,32,45%,32,https://www.landkreis-st-wendel.de/der-landkreis/landratsamt/aktuelle-meldungen/,https://www.landkreis-st-wendel.de/der-landkreis/landratsamt/aktuelle-meldungen/,19/03/2020 15:00:00,32,,,,,,,,0,,,0,0,,,,,,,,,10,1
Berlin,Kreisfreie Stadt,11000,688,33%,688,https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php,https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php,19/03/2020 20:30:00,688,,,15,,,,,0,,,0,0,,,,,,,,,11,1
Barnim,Landkreis,12060,21,5%,21,https://www.barnim.de/leben-in-barnim/gesundheit/coronavirus.html,https://www.barnim.de/leben-in-barnim/gesundheit/coronavirus.html,19/03/2020 17:12:00,21,,,,,,,,0,,,0,0,,,,,,,,,12,1
Brandenburg an der Havel,Kreisfreie Stadt,12051,4,100%,4,https://www.stadt-brandenburg.de/leben/gesundheit/coronavirus-ncov/,https://www.stadt-brandenburg.de/leben/gesundheit/coronavirus-ncov/,19/03/2020 00:00:00,4,,,,,,,,0,,,0,0,,,,,,,,,12,1
Cottbus,Kreisfreie Stadt,12052,20,0%,20,http://www.cottbus.de/verwaltung/gb_iii/gesundheit/coronavirus_covid-19_sars-cov-2.html,http://www.cottbus.de/verwaltung/gb_iii/gesundheit/coronavirus_covid-19_sars-cov-2.html,19/03/2020 17:09:00,20,,201,,,,,,0,,,0,0,,,,,,,,,12,1
Dahme-Spreewald,Landkreis,12061,18,13%,18,https://www.dahme-spreewald.info/de/Politik_&_Verwaltung/Verwaltungsstruktur/Dezernat_fuer_Soziales_Jugend_Gesundheit_und_Kultur/Gesundheitsamt/Coronavirus/58651.html,https://www.dahme-spreewald.info/de/Politik_&_Verwaltung/Verwaltungsstruktur/Dezernat_fuer_Soziales_Jugend_Gesundheit_und_Kultur/Gesundheitsamt/Coronavirus/58651.html,19/03/2020 23:59:00,18,,,,,,,,0,,,0,0,,,,,,,,,12,1
Elbe-Elster,Landkreis,12062,7,17%,7,https://www.lkee.de/Service-Verwaltung/Kreisverwaltung/Gesundheitsamt/Coronavirus,https://www.lkee.de/Service-Verwaltung/Kreisverwaltung/Gesundheitsamt/Coronavirus,19/03/2020 23:59:00,7,,,,,,,,0,,,0,0,,,,,,,,,12,1
Frankfurt (Oder),Kreisfreie Stadt,12053,3,50%,3,"https://www.frankfurt-oder.de/Schnellnavigation/Startseite/OB-Ren%C3%A9-Wilke-informiert-Aktuelles-vom-Tage-Montag-16-M%C3%A4rz-2020.php?object=tx,2616.14&ModID=7&FID=2616.14852.1","https://www.frankfurt-oder.de/Schnellnavigation/Startseite/OB-Ren%C3%A9-Wilke-informiert-Aktuelles-vom-Tage-Montag-16-M%C3%A4rz-2020.php?object=tx,2616.14&ModID=7&FID=2616.14852.1",19/03/2020 16:40:00,3,,,,,,,,0,,,0,0,,,,,,,,,12,1
Havelland,Landkreis,12063,8,0%,8,https://www.havelland.de/coronavirus/,https://www.havelland.de/coronavirus/,19/03/2020 23:59:00,8,,,,,,,,0,,,0,0,,,,,,,,,12,1
Märkisch-Oderland,Landkreis,12064,29,12%,29,https://www.maerkisch-oderland.de/de/aktuelles/pressemitteilung-262020.html,https://www.maerkisch-oderland.de/de/aktuelle-lageberichte.html,19/03/2020 23:59:00,29,,,,,,,,0,,,0,0,,,,,,,,,12,1
Oberhavel,Landkreis,12065,23,77%,23,https://www.oberhavel.de/B%C3%BCrgerservice/Gesundheit/Aktuelles-zum-Coronavirus,https://www.oberhavel.de/B%C3%BCrgerservice/Gesundheit/Aktuelles-zum-Coronavirus,19/03/2020 16:40:00,23,,293,2,,,,,0,,,0,0,,,,,,,,,12,1
