"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 20.03 00:00,Änderungsrate (24 Std.),Coronavirus Fälle heute (verifiziert),Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Osnabrück,Landkreis,3459,74,21%,74,https://www.landkreis-osnabrueck.de/veterinaer-gesundheit/infektionsschutz/covid-19,https://www.landkreis-osnabrueck.de/sites/default/files/pdf_dateien/2020-03-18_dashboard_corona_1200.pdf,19/03/2020 22:15:00,74,,,,,,,,0,,,0,0,,,,,,,,,3,1
Osterholz,Landkreis,3356,22,10%,22,https://www.landkreis-osterholz.de/portal/meldungen/aktuelle-informationen-zum-coronavirus-901005017-21000.html?rubrik=901000012,https://www.landkreis-osterholz.de/portal/meldungen/landkreis-gibt-nochmals-allgemeine-hinweise-zum-umgang-mit-dem-coronavirus-901005077-21000.html?rubrik=901000054,19/03/2020 16:40:00,22,,,,,,,,0,,,0,0,,,,,,,,,3,1
Peine,Landkreis,3157,11,38%,11,"https://www.landkreis-peine.de/Quicknavigation/Start/Neue-Coronaf%C3%A4lle-im-Landkreis-Peine.php?object=tx,2555.5&ModID=7&FID=2555.6498.1","https://www.landkreis-peine.de/Quicknavigation/Start/Neue-Coronaf%C3%A4lle-im-Landkreis-Peine.php?object=tx,2555.5&ModID=7&FID=2555.6498.1",19/03/2020 16:40:00,11,,,,,,,,0,,,0,0,,,,,,,,,3,1
Region Hannover,Landkreis,3241,238,38%,238,https://www.hannover.de/Leben-in-der-Region-Hannover/Verwaltungen-Kommunen/Die-Verwaltung-der-Region-Hannover/Region-Hannover/Aktuelle-Informationen-zum-Coronavirus-der-Region-Hannover,https://www.hannover.de/Leben-in-der-Region-Hannover/Verwaltungen-Kommunen/Die-Verwaltung-der-Region-Hannover/Region-Hannover/Aktuelle-Informationen-zum-Coronavirus-der-Region-Hannover,#############,238,,,,,,,,0,,,0,0,,,,,,,,,3,1
Rotenburg (Wümme),Landkreis,3357,22,16%,22,https://www.lk-row.de/portal/seiten/coronavirus-sars-cov-2--900000145-23700.html?rubrik=1007,https://www.lk-row.de/portal/seiten/coronavirus-sars-cov-2--900000145-23700.html?rubrik=1007,19/03/2020 23:59:00,22,,,,,,,,0,,,0,0,,,,,,,,,3,1
Salzgitter,Kreisfreie Stadt,3102,10,100%,10,https://www.salzgitter.de/,https://www.salzgitter.de/,#############,10,,45,,,,,,0,,,0,0,,,,,,,,,3,1
Schaumburg,Landkreis,3257,19,58%,19,https://www.niedersachsen.de/Coronavirus,https://www.sn-online.de/Schaumburg/Landkreis/Aus-dem-Landkreis/Urlaubsrueckkehrer-Fuenfter-Corona-Fall-im-Landkreis-Schaumburg,19/03/2020 23:59:00,19,,,,,,,,0,,,0,0,,,,,,,,,3,1
Stade,Landkreis,3359,37,12%,37,https://www.landkreis-stade.de/portal/meldungen/coronavirus-aktuelle-lage-informationen-und-hinweise-des-gesundheitsamtes-landkreis-stade-901004416-20350.html?rubrik=901000006,https://www.landkreis-stade.de/portal/meldungen/coronavirus-aktuelle-lage-informationen-und-hinweise-des-gesundheitsamtes-landkreis-stade-901004416-20350.html?rubrik=901000006,19/03/2020 23:59:00,37,,,,,,,,0,,,0,0,,,,,,,,,3,1
Uelzen,Landkreis,3360,3,0%,3,https://www.landkreis-uelzen.de/home/soziales-familie-und-gesundheit/gesundheit/corona-virus.aspx,https://www.landkreis-uelzen.de/home/soziales-familie-und-gesundheit/gesundheit/corona-virus.aspx,19/03/2020 23:59:00,3,,8,,,,,,0,,,0,0,,,,,,,,,3,1
Vechta,Landkreis,3460,22,29%,22,https://www.landkreis-vechta.de/nc/service/aktuelles/pressemitteilungen/einzelansicht/news/inzwischen-sechs-covid-19-infektionen-im-landkreis-vechta.html,https://www.landkreis-vechta.de/service/aktuelles/pressemitteilungen.html,19/03/2020 23:59:00,22,,,,,,,,0,,,0,0,,,,,,,,,3,1
